index,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
190,1.217123,2.236156,MGC,0.824272,0.195611,1.003240,0.437418
191,1.228213,1.644692,MGC,0.840029,0.369952,1.031734,0.608457
192,1.078106,2.260142,MGC,1.412583,0.171982,1.522914,0.388703
193,1.148177,1.316546,MGC,0.930026,0.537331,1.067834,0.707420
194,1.327074,1.998309,MGC,0.619015,0.234531,0.821479,0.468666
195,1.290673,1.386799,MGC,0.774944,0.545715,1.000199,0.756797
196,1.248589,1.367591,MGC,0.760766,0.322536,0.949884,0.441097
197,1.269368,1.815309,MGC,0.508868,0.225876,0.645941,0.410035
198,1.346125,1.509977,MGC,0.554625,0.563477,0.746594,0.850838
199,1.166999,1.647667,MGC,1.168325,0.387567,1.363435,0.638581
200,1.145523,1.977844,MGC,1.056507,0.227964,1.210254,0.450878
201,1.324992,1.350502,MGC,0.511936,0.492175,0.678311,0.664683
202,1.224146,1.493429,MGC,0.610809,0.247101,0.747720,0.369028
203,1.325012,1.571890,MGC,0.536337,0.446403,0.710652,0.701696
204,1.151640,1.802732,MGC,0.789818,0.227692,0.909586,0.410468
205,1.360011,1.737312,MGC,0.541246,0.312908,0.736101,0.543619
206,1.225429,1.609732,MGC,0.849030,0.259138,1.040426,0.417142
207,1.192782,1.092261,HWC,0.650833,0.475652,0.776302,0.519536
208,1.578666,1.688184,MGC,0.491401,0.399803,0.775758,0.674942
209,1.297305,1.653865,MGC,0.673191,0.276038,0.873334,0.456529
210,1.189138,1.495572,MGC,0.833130,0.480127,0.990708,0.718065
211,1.262210,1.673056,MGC,0.774064,0.340841,0.977031,0.570247
212,1.192108,1.804822,MGC,1.164217,0.221033,1.387872,0.398924
213,1.259128,1.733293,MGC,0.631546,0.229743,0.795197,0.398211
214,1.807011,2.005729,MGC,0.294851,0.266516,0.532799,0.534559
215,1.263903,1.441361,MGC,0.425388,0.419915,0.537649,0.605248
216,1.259540,1.609887,MGC,0.650705,0.298648,0.819588,0.480790
217,1.174518,2.516582,MGC,1.234879,0.192405,1.450388,0.484204
218,1.238338,1.911569,MGC,0.767035,0.245884,0.949849,0.470025
219,1.276190,1.722462,MGC,0.565378,0.261842,0.721530,0.451013
220,1.132893,1.729301,MGC,0.961045,0.305939,1.088761,0.529061
221,1.218406,1.398503,MGC,0.717863,0.488010,0.874649,0.682484
222,1.221494,1.443971,MGC,0.618471,0.312520,0.755459,0.451270
223,1.177540,1.594100,MGC,0.737306,0.331833,0.868208,0.528976
224,1.478313,1.764367,MGC,0.333282,0.221347,0.492695,0.390537
225,1.274532,1.593172,MGC,0.656485,0.463107,0.836711,0.737810
226,1.054684,1.310314,MGC,0.936194,0.593765,0.987389,0.778019
227,1.243023,1.275814,MGC,0.683628,0.368272,0.849766,0.469847
228,1.278183,2.088864,MGC,0.623518,0.225665,0.796970,0.471384
229,1.129693,1.292608,MGC,0.704164,0.794540,0.795489,1.027029
230,1.168588,1.495392,MGC,0.921772,0.417149,1.077172,0.623801
