index,source_line_no,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
459,2136,1.544240,1.778979,MGC,0.414754,0.295640,0.640480,0.525937
460,2140,1.562529,2.606618,MGC,0.501549,0.167563,0.783684,0.436773
461,2141,1.328116,2.052941,MGC,0.879493,0.285535,1.168069,0.586186
462,2145,1.744771,1.919277,MGC,0.322179,0.290185,0.562129,0.556945
463,2164,1.588013,2.162043,MGC,0.366372,0.260370,0.581803,0.562931
464,2165,1.504081,2.495524,MGC,0.585776,0.118681,0.881054,0.296172
465,2167,1.313705,2.990125,MGC,1.036429,0.155149,1.361563,0.463915
466,2169,1.328132,3.067694,MGC,0.906927,0.169496,1.204519,0.519963
467,2187,1.314118,2.310397,MGC,0.675481,0.177331,0.887661,0.409706
468,2191,1.421624,1.715152,MGC,0.867123,0.278473,1.232723,0.477624
469,2194,1.234024,1.228996,HWC,0.834666,0.556488,1.029998,0.683921
470,2198,1.194931,1.445442,MGC,1.483383,0.587064,1.772541,0.848567
471,2199,1.256197,1.893938,MGC,0.733726,0.311255,0.921704,0.589498
472,2202,1.412427,1.675445,MGC,1.542987,0.403960,2.179357,0.676813
473,2215,1.624623,3.030220,MGC,0.486882,0.187248,0.791000,0.567403
474,2222,1.229657,1.402270,MGC,0.717330,0.562286,0.882070,0.788476
475,2223,1.797126,2.175628,MGC,0.324529,0.237621,0.583220,0.516976
476,2227,1.701322,2.102540,MGC,0.469083,0.215414,0.798061,0.452917
477,2231,1.202443,2.875015,MGC,1.033837,0.132633,1.243130,0.381323
478,2233,1.362117,2.817568,MGC,0.971277,0.176775,1.322993,0.498077
479,2243,1.540133,1.852929,MGC,0.595536,0.542226,0.917205,1.004707
480,2251,1.152047,1.762973,MGC,1.861727,0.460067,2.144797,0.811085
481,2252,1.464009,2.383381,MGC,0.943321,0.213608,1.381031,0.509109
482,2257,1.334047,2.424487,MGC,0.868278,0.193416,1.158323,0.468935
483,2258,1.147381,1.783371,MGC,1.011581,0.332324,1.160669,0.592657
484,2259,1.246888,1.754623,MGC,1.049939,0.245789,1.309156,0.431267
485,2265,1.210632,2.490717,MGC,0.875469,0.273308,1.059871,0.680732
486,2266,1.163880,1.953684,MGC,1.584747,0.279386,1.844456,0.545832
487,2269,1.357400,2.072201,MGC,0.998631,0.230055,1.355542,0.476721
488,2275,1.807040,2.309081,MGC,0.401916,0.186566,0.726279,0.430796
489,2279,2.223373,1.834145,HWC,0.262898,0.277330,0.584519,0.508664
490,2285,1.201515,3.057499,MGC,0.894688,0.221601,1.074981,0.677545
491,2287,1.358570,1.672821,MGC,0.837742,0.536141,1.138132,0.896868
